case_id,algorithm,selected_item_ids_checksum,median_wall_runtime_seconds_level_03,median_used_container_count_level_03,median_total_container_cost_level_03,level_id_level_03,median_wall_runtime_seconds_level_04,median_used_container_count_level_04,median_total_container_cost_level_04,level_id_level_04,median_wall_runtime_seconds_level_05,median_used_container_count_level_05,median_total_container_cost_level_05,level_id,level_04_vs_03_runtime_ratio,level_05_vs_04_runtime_ratio,level_04_minus_03_containers,level_05_minus_04_containers
random_random_s307_i100,maximal_space_best_fit,f56146b195e5c2512a543fcd1c552540984c5d12e4dd7ef8f232cb42df3e94d4,0.8474126000073738,4.0,8000.0,level_03,0.9259229999734088,5.0,10000.0,level_04,1.72223130002385,5.0,10000.0,level_05,1.0926471944898528,1.8600156817287292,1.0,0.0
random_random_s307_i20,extreme_point_best_fit,aaef9c735f92f5effb58f4774022b408d701221462b35acf5b74a25137fde645,0.349485899991123,1.0,2000.0,level_03,0.4915209999890066,2.0,4000.0,level_04,0.6082059000036679,2.0,4000.0,level_05,1.4064115319144244,1.2373955538365016,1.0,0.0
random_random_s307_i20,extreme_point_ffd,aaef9c735f92f5effb58f4774022b408d701221462b35acf5b74a25137fde645,0.3399564000137616,1.0,2000.0,level_03,0.5026388000114821,2.0,4000.0,level_04,0.5830694000178482,2.0,4000.0,level_05,1.4785390126237807,1.1600166958948033,1.0,0.0
random_random_s307_i20,maximal_space_best_fit,aaef9c735f92f5effb58f4774022b408d701221462b35acf5b74a25137fde645,0.3715714999998454,1.0,2000.0,level_03,0.497804000013275,2.0,4000.0,level_04,0.6063688999856822,2.0,4000.0,level_05,1.339726001626826,1.218087640857671,1.0,0.0
random_random_s307_i200,extreme_point_best_fit,a1e5f9dcfaf36fb582a8e223f8ea903f35d7a0e86d43567259805862cf8394ca,2.3877517000073567,8.0,16000.0,level_03,2.3098524999804795,9.0,18000.0,level_04,4.3559343999950215,9.0,18000.0,level_05,0.9673755022238547,1.8858063014984001,1.0,0.0
random_random_s307_i200,extreme_point_ffd,a1e5f9dcfaf36fb582a8e223f8ea903f35d7a0e86d43567259805862cf8394ca,2.1195736000081524,8.0,16000.0,level_03,2.346158500004094,9.0,18000.0,level_04,3.388205499999458,9.0,18000.0,level_05,1.1069011710634018,1.4441502993056716,1.0,0.0
random_random_s307_i200,maximal_space_best_fit,a1e5f9dcfaf36fb582a8e223f8ea903f35d7a0e86d43567259805862cf8394ca,1.8035175999975763,8.0,16000.0,level_03,1.5079838999954518,8.0,16000.0,level_04,1.710954700014554,9.0,18000.0,level_05,0.8361348400467389,1.1345974582485359,0.0,1.0
random_random_s307_i300,extreme_point_best_fit,34e2b3fd3a57480a49cfac1799ea2e23f747e3ccd15ebd6ddddf73fb830ae17e,4.951139600016177,12.0,24000.0,level_03,5.936816600005841,14.0,28000.0,level_04,8.9482091999962,14.0,28000.0,level_05,1.1990808338319614,1.507240294400773,2.0,0.0
random_random_s307_i300,extreme_point_ffd,34e2b3fd3a57480a49cfac1799ea2e23f747e3ccd15ebd6ddddf73fb830ae17e,4.414947599987499,12.0,24000.0,level_03,7.105905400007032,14.0,28000.0,level_04,7.234511599992402,14.0,28000.0,level_05,1.609510699521587,1.0180984959334307,2.0,0.0
random_random_s307_i300,maximal_space_best_fit,34e2b3fd3a57480a49cfac1799ea2e23f747e3ccd15ebd6ddddf73fb830ae17e,3.0483065000153147,11.0,22000.0,level_03,4.428383299993584,13.0,26000.0,level_04,5.07581609999761,13.0,26000.0,level_05,1.4527355762851721,1.146200713927578,2.0,0.0
random_random_s307_i50,extreme_point_best_fit,de70b382d9f63cd9c8706e4decd6455ded36492c78fb59cec7ea8b0b08fdf776,0.634223800007021,3.0,6000.0,level_03,0.5576491999963764,3.0,6000.0,level_04,0.7540818999987096,3.0,6000.0,level_05,0.8792624937604093,1.3522513795475894,0.0,0.0
random_random_s307_i50,extreme_point_ffd,de70b382d9f63cd9c8706e4decd6455ded36492c78fb59cec7ea8b0b08fdf776,0.6142815999919549,3.0,6000.0,level_03,0.5078821000060998,3.0,6000.0,level_04,0.948755399993388,3.0,6000.0,level_05,0.8267903515468337,1.8680622923745358,0.0,0.0
random_random_s307_i50,maximal_space_best_fit,de70b382d9f63cd9c8706e4decd6455ded36492c78fb59cec7ea8b0b08fdf776,0.4742228999966755,2.0,4000.0,level_03,0.4736101999878883,3.0,6000.0,level_04,0.8425380999979097,3.0,6000.0,level_05,0.9987079915187742,1.7789694985865088,1.0,0.0
